SquareFootage,Price($1000s)
500,192.42
545,182.0
591,207.1
636,234.44
682,195.96
727,201.42
773,252.21
818,237.37
864,211.9
909,242.65
955,222.96
1000,228.36
1045,251.5
1091,203.08
1136,213.24
1182,247.76
1227,241.95
1273,280.58
1318,255.48
1364,248.33
1409,325.73
1455,288.9
1500,301.69
1545,269.84
1591,297.3
1636,319.14
1682,293.04
1727,336.67
1773,317.71
1818,330.89
1864,328.59
1909,395.4
1955,354.21
2000,333.56
2045,400.75
2091,370.97
2136,429.22
2182,398.78
2227,439.67
2273,504.31
2318,545.84
2364,561.23
2409,585.28
2455,613.61
2500,619.0
2545,674.74
2591,720.06
2636,799.01
2682,824.49
2727,817.56
2773,918.04
2818,951.32
2864,997.9
2909,1087.0
2955,1157.57
3000,1218.52
3045,1241.27
3091,1325.28
3136,1416.02
3182,1511.05
3227,1558.02
3273,1653.37
3318,1723.31
3364,1819.22
3409,1973.1
3455,2096.17
3500,2176.07
3545,2325.05
3591,2437.94
3636,2548.94
3682,2717.9
3727,2899.18
3773,3020.21
3818,3229.58
3864,3303.83
3909,3578.76
3955,3759.86
4000,3960.87
4045,4193.1
4091,4376.06
4136,4668.37
4182,4944.81
4227,5249.53
4273,5491.85
4318,5793.2
4364,6126.77
4409,6506.37
4455,6855.17
4500,7217.55
4545,7648.99
4591,8066.67
4636,8540.54
4682,8976.2
4727,9489.76
4773,10020.61
4818,10556.13
4864,11193.96
4909,11820.2
4955,12476.08
5000,13169.5
