SquareFootage,Price($1000s)
600,234.37
644,200.0
688,200.0
733,203.69
777,200.0
822,200.0
866,204.32
911,200.0
955,250.32
1000,241.02
1044,203.48
1088,224.82
1133,254.04
1177,232.82
1222,239.16
1266,202.56
1311,278.68
1355,269.53
1400,280.81
1444,223.86
1488,341.22
1533,295.09
1577,282.46
1622,373.43
1666,307.3
1711,264.67
1755,307.9
1800,248.71
1844,372.32
1888,327.89
1933,323.43
1977,393.99
2022,305.78
2066,389.5
2111,305.77
2155,362.2
2200,350.65
2244,451.48
2288,469.71
2333,404.03
2377,452.72
2422,424.82
2466,458.9
2511,420.65
2555,395.27
2600,400.09
2644,484.83
2688,558.38
2733,497.52
2777,478.18
2822,572.0
2866,521.99
2911,525.93
2955,539.99
3000,535.37
3044,538.1
3088,507.71
3133,584.58
3177,572.87
3222,627.19
3266,581.85
3311,537.44
3355,610.15
3400,682.68
3444,619.42
3488,611.41
3533,610.58
3577,625.48
3622,661.68
3666,640.92
3711,744.75
3755,692.64
3800,716.6
3844,773.49
3888,786.2
3933,736.64
3977,766.3
4022,791.07
4066,769.34
4111,724.68
4155,820.73
4200,840.1
4244,834.4
4288,798.68
4333,835.36
4377,832.84
4422,854.41
4466,921.75
4511,941.43
4555,922.94
4600,930.41
4644,946.65
4688,934.4
4733,944.11
4777,935.19
4822,968.9
4866,1000.0
4911,1000.0
4955,995.62
5000,1000.0
